id,x,y,zone
0,584.7534354410058,4512.001899403935,68
1,585.8892487295406,4512.153548225778,161
2,583.8272881474855,4509.082827875361,125
3,585.859884321186,4514.618574008968,143
4,587.3991070059803,4513.0644887826675,141
5,585.8177444406739,4513.587673119076,142
6,585.3627003996792,4513.805168242646,143
7,583.7460287613653,4509.296102322212,158
8,585.8132639622081,4512.084555416768,161
9,585.3170762119929,4513.523422720373,48
10,584.8321161629964,4512.494671462402,48
11,588.764866451803,4515.437259809321,75
12,586.4822254566589,4515.864104462956,238
13,587.3376706040077,4512.425170672951,229
14,584.6217225023094,4510.039574498401,249
15,587.0359510175534,4513.640795387622,237
16,587.4327351305633,4513.113336227926,141
17,586.7541034557851,4512.452651950514,162
18,584.3823458013101,4509.319204144057,114
19,583.1060931397677,4506.944471015714,13
20,585.1714302674393,4509.222756412688,113
21,583.568020569928,4507.503818132413,231
22,585.0315389950263,4512.1625155325855,48
23,588.0423679917159,4514.270984408525,263
24,583.6436141278697,4510.07632296163,158
25,583.1983909455159,4507.803160088674,13
26,585.0268290191354,4511.6563569208965,186
27,585.6478018616001,4512.7632958175145,230
28,585.0285400633895,4512.503918170856,48
29,587.1461447643721,4512.277163981823,229
30,586.4844455762776,4510.551680796004,137
31,588.4133310538832,4516.114438960974,75
32,585.2083547727182,4512.181022997257,100
33,585.024274577781,4513.634884958895,50
34,585.1819987498212,4513.760998433893,50
35,586.6120960686972,4510.8466368633,137
36,586.8103872498465,4515.779384174554,238
37,587.588661771417,4513.145732440016,141
38,586.4177658180178,4513.136339383778,163
39,586.9225102454338,4512.381906433468,162
40,589.43218656869,4523.155430471663,243
41,586.8103872498465,4515.779384174554,238
42,586.1254196067446,4513.3620615492355,163
43,586.4110164066705,4513.132651940547,163
44,586.1273593177789,4513.127793098436,163
45,587.5844416672732,4513.145682526102,141
46,586.7243082242541,4515.687180203141,238
47,585.9968074826088,4514.980421568079,239
48,587.6814254286143,4514.746999012156,236
49,587.6814254286143,4514.746999012156,236
50,585.7328604646947,4513.604719818488,142
51,586.8861528415399,4512.392758155525,162
52,586.1298913784918,4513.127822548149,163
53,585.7400988922441,4513.18369537601,48
54,585.7210828029147,4513.183475223111,48
55,584.2740582633279,4509.743068758899,249
56,585.7353923602027,4513.604749135853,142
57,585.9925884386171,4514.9803725449965,239
58,586.7327455194155,4515.687279098765,238
59,586.1211996391006,4513.362012467312,163
60,586.6120960686972,4510.8466368633,137
61,584.3987628818434,4512.8673059638895,50
62,584.9276319941811,4512.484108747672,48
63,583.084029028474,4507.596745878915,13
64,583.1012674258762,4507.763658310549,13
65,585.1117576687005,4510.779338115913,234
66,585.9356122680606,4510.989806899493,170
67,585.1830883164445,4510.9302813597105,234
68,587.076186342446,4512.948973405759,237
69,586.5450389227138,4512.727485297171,161
70,587.9962889953148,4514.622070442126,236
71,587.0876104918066,4516.337270959587,238
72,585.4565042050118,4508.062087038117,148
73,591.713506464911,4525.03035449839,127
74,585.5481981757613,4511.17608224523,164
75,583.5726606491336,4508.120667630733,231
76,585.9912874844274,4513.905257356255,142
77,583.8715759867162,4510.795207634992,68
