puzone,dozone,hr,speed_mean,speed_stddev
4,4,0,0.004769425,0.0012554491655543153
4,4,1,0.00468373,0.0012018057587991702
4,4,2,0.005636626,0.0014718900361576025
4,4,3,0.004919568,0.0012785280042381737
4,4,4,0.005235179,0.0013946940976925597
4,4,5,0.005873928,0.0015185926305042808
4,4,6,0.004945403,0.0012760304902085307
4,4,7,0.004385943,0.0012747731208049566
4,4,8,0.003919802,0.001219745820414642
4,4,9,0.005250066,0.001737967262199413
4,4,10,0.003753491,0.0012167526042952
4,4,11,0.003903028,0.0013279355365632
4,4,12,0.004485986,0.001556326578958429
4,4,13,0.004002517,0.0013093408752581
4,4,14,0.004095116,0.001348565672427651
4,4,15,0.004343909,0.001456690151583665
4,4,16,0.004366761,0.0015169998209104895
4,4,17,0.004762683,0.0016053975279296659
4,4,18,0.004597725,0.0014958093870407327
4,4,19,0.004228768,0.0012951173776515853
4,4,20,0.004401691,0.0012524086786880352
4,4,21,0.004387853,0.0012091477261623133
4,4,22,0.004558811,0.0012539936542547436
4,4,23,0.004335301,0.0012048199614745404
4,12,0,0.006352954967407729,0.0016722795751345657
4,12,1,0.0067297764266822735,0.0017268040781636984
4,12,2,0.008696269,0.002270853466745219
4,12,3,0.00795421,0.0020671896875073836
4,12,4,0.007212151,0.0019213754546630575
4,12,5,0.008016990333333333,0.002072640733598379
4,12,6,0.008821829666666666,0.002276239900791265
4,12,7,0.009626669,0.0018594404875653175
4,12,8,0.007404394,0.0020680089493095
4,12,9,0.007611825,0.0016663978146623066
4,12,10,0.006673003,0.00225742114596726
4,12,11,0.008878404,0.0020294952067592123
4,12,12,0.006030525,0.002092174684132603
4,12,13,0.009059714,0.0020444773175715015
4,12,14,0.008924225,0.0029388431214208955
4,12,15,0.006688003,0.001607722311960308
4,12,16,0.0050944445,0.0017697949107217976
4,12,17,0.003500886,0.0008393377747846927
4,12,18,0.0042215055,0.0013734113184986228
4,12,19,0.004942125,0.0015135926042824628
4,12,20,0.010095545,0.0028724751860331856
4,12,21,0.010095545,0.002781999597780352
4,12,22,0.010095545,0.0027769849125667207
4,12,23,0.010095545,0.002805644668724153
4,13,0,0.008647541,0.0022762802921833824
4,13,1,0.008670692,0.0022248267040102434
4,13,2,0.009858675,0.00176724365785
4,13,3,0.008136522,0.0020096168649821
4,13,4,0.017062882,0.004545689997424084
4,13,5,0.010578859,0.0027349632676028517
4,13,6,0.009893844,0.002552844855993886
4,13,7,0.00923719,0.0023521568909768
4,13,8,0.007264776,0.0018844602202845
4,13,9,0.007427867,0.0017973366885853
4,13,10,0.008492627,0.0026133984564731
4,13,11,0.008741044,0.0023283381120207
4,13,12,0.008030218,0.0021165680780586
4,13,13,0.008063992,0.0026935614229153114
4,13,14,0.006809027,0.0020843653959253
4,13,15,0.006358125,0.0020810096322956
4,13,16,0.004996922,0.0014415305919624
4,13,17,0.00517679,0.0014676162180618
4,13,18,0.00675112,0.0019215718273005
4,13,19,0.007873906,0.0024114901764757685
4,13,20,0.008565279,0.002273938071352
4,13,21,0.00818397,0.002255232505847527
4,13,22,0.008148055,0.0022412881921445383
4,13,23,0.007691263,0.002137472621013064
4,24,0,0.009407021,0.0024761971652352056
4,24,1,0.008931157,0.002291659834221768
4,24,2,0.011978719,0.0031279984057895204
4,24,3,0.010164644,0.0014607687958942941
4,24,4,0.009857128,0.0026259209350025
4,24,5,0.0083345305,0.0021547347185755694
4,24,6,0.006811933,0.0010658867166234154
4,24,7,0.006033992,0.001753778107182912
4,24,8,0.005234128,0.0016287316939772084
4,24,9,0.007426194,0.0016257590594710642
4,24,10,0.006461326,0.0014550263343096929
4,24,11,0.005074217,0.0012429915147389
4,24,12,0.006421951,0.0014573038644922927
4,24,13,0.005508632,0.0018400115784138697
4,24,14,0.006395515,0.0015011612631213845
4,24,15,0.005033071,0.001687794324863009
4,24,16,0.0076838825,0.002669357992433578
4,24,17,0.010334694,0.003483602036816129
4,24,18,0.005871017,0.0013528033614585032
4,24,19,0.006232975,0.0019089328705116692
4,24,20,0.005212779,0.0010130980483568
4,24,21,0.008323113,0.0018648728437628
4,24,22,0.00637577,0.0015318590528661
4,24,23,0.007750255,0.0014383808599392946
4,41,0,0.008801237,0.001926914312504
4,41,1,0.010453438,0.002682264346503766
4,41,2,0.010691381,0.0022384799300478
4,41,3,0.009349241,0.0013435866045181282
4,41,4,0.00895822,0.0020356525691742
4,41,5,0.01079522,0.002790899298846091
4,41,6,0.009652144,0.0017161840901805
4,41,7,0.007365685,0.0014227198325456652
4,41,8,0.007568591,0.001589106550466296
4,41,9,0.007923644,0.0017346619300577849
4,41,10,0.008328339,0.0022538985923464
4,41,11,0.007212925,0.0022363457248455
4,41,12,0.007521088,0.0020099674657951
4,41,13,0.006442139,0.0014537773556806272
4,41,14,0.005318341,0.0012483259742601255
4,41,15,0.00509346,0.001224411724557742
4,41,16,0.00513051,0.0017274242962414
4,41,17,0.005628824,0.00175427628646
4,41,18,0.006151193,0.0014173616883378151
4,41,19,0.006719298,0.0014398708295098245
4,41,20,0.007508606,0.0016683813712212
4,41,21,0.008335038,0.0015511143833849671
4,41,22,0.007921312,0.0015691467809654
4,41,23,0.007846635,0.0014773661345437
4,42,0,0.009987528,0.0026290032223067476
4,42,1,0.01200412,0.0022817262328528
4,42,2,0.0131317,0.0019707557675818807
4,42,3,0.013247595,0.0033187850731941
4,42,4,0.014608754,0.0038918904164389734
4,42,5,0.012384924,0.0021482030988825
4,42,6,0.009092419,0.001422722248453465
4,42,7,0.008028281,0.0023334176538703623
4,42,8,0.009172436,0.0019258509452199058
4,42,9,0.012510876,0.004141565631638981
4,42,10,0.008918901,0.0020084477749770023
4,42,11,0.009628844,0.0022010366665711767
4,42,12,0.010284016,0.0025714933793783
4,42,13,0.008191553,0.001848562140502977
4,42,14,0.007720197,0.0021953025133922
4,42,15,0.005857506,0.0015311493278545
4,42,16,0.004655552,0.0016173249578439193
4,42,17,0.005258049,0.0013482450728984
4,42,18,0.006787074,0.0022080853030009605
4,42,19,0.00876184,0.0020402166296149
4,42,20,0.010419907,0.001969750145133089
4,42,21,0.010790097,0.0025594232066484
4,42,22,0.011568772,0.0025040396319769
4,42,23,0.010352494,0.0022045908303857
4,43,0,0.008592074,0.0022307841535084
4,43,1,0.007891323,0.002024847167950404
4,43,2,0.007298613,0.0014743188677248
4,43,3,0.006521969,0.0016949699667274114
4,43,4,0.008270182,0.001158548190714989
4,43,5,0.008974671,0.0012609976351848
4,43,6,0.007740276,0.0019971735728371025
4,43,7,0.00528783,0.0013931115940968
4,43,8,0.005093433,0.001163706410096
4,43,9,0.004701995,0.0015565353610840944
4,43,10,0.004764616,0.0016118297730143298
4,43,11,0.004764442,0.0015607747743927
4,43,12,0.00561478,0.001947939950994989
4,43,13,0.004985515,0.001665278298560518
4,43,14,0.004313912,0.001319077576687
4,43,15,0.004215081,0.0013685641386343
4,43,16,0.004207718,0.001017311099062342
4,43,17,0.004116769,0.0012113560681371
4,43,18,0.003493597,0.0009437249133176
4,43,19,0.005295272,0.0012821487513696
4,43,20,0.006028562,0.001715300635326037
4,43,21,0.006023053,0.00147548411476
4,43,22,0.006182139,0.0013573982884614
4,43,23,0.006577081,0.0012468022183335
4,45,0,0.005908165,0.0015551981253939858
4,45,1,0.005275652,0.001353687969848894
4,45,2,0.004958052,0.001294694261700399
4,45,3,0.006288178,0.0016342109040131962
4,45,4,0.006592005,0.0017561635362343562
4,45,5,0.006844932,0.0017696272905461095
4,45,6,0.006544477,0.001688629257204813
4,45,7,0.007047712,0.002048415545020659
4,45,8,0.004754571,0.0014795053691780006
4,45,9,0.004334032,0.0014347259118884686
4,45,10,0.004406609,0.0014907189969208226
4,45,11,0.004327425,0.0014839036284541567
4,45,12,0.005169929,0.0017936074508542765
4,45,13,0.004223317,0.0014106863880745941
4,45,14,0.0046559,0.0015332378653634966
4,45,15,0.004884835,0.0014262660218857
4,45,16,0.004316822,0.0013636295320379
4,45,17,0.004103702,0.001383269271996483
4,45,18,0.004465854,0.0014529068907673693
4,45,19,0.004851244,0.0014857590692201577
4,45,20,0.004616255,0.0013134583561265512
4,45,21,0.004773315,0.0013153683540689405
4,45,22,0.005113751,0.0014066411841681633
4,45,23,0.004869795,0.0013533607526418372
4,48,0,0.006020671,0.000991738664738005
4,48,1,0.006260674,0.0009780257213867533
4,48,2,0.006640501,0.0009965812229477712
4,48,3,0.007248231,0.0014997658190189
4,48,4,0.006789057,0.0011556823131117
